"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HEATR1",0.858727906875566,2.59054536852981,12.3897421950747,2.1638546400079e-31,3.67238182142279e-30,60.201655089688
"FRMD4B",-0.884112973117819,2.08299784266265,-12.384519821157,2.27779260367362e-31,3.86219834122894e-30,60.1506931911445
"NIPSNAP1",1.04387944378804,4.62221063921598,12.3826400250558,2.32024995397734e-31,3.93057586326667e-30,60.1323524569044
"TMED3",0.997760153725112,2.90427737016606,12.3820888787805,2.33284690279214e-31,3.94828987731278e-30,60.1269753544565
"SLC7A5",2.11531075137552,4.1785430484218,12.3811860754265,2.35362853889705e-31,3.97981111691776e-30,60.1181677070919
"SHANK3",-1.04910081524771,2.12608685603973,-12.376912826155,2.45452232298453e-31,4.14661426871966e-30,60.0764833886232
"BPHL",0.888915952436494,2.0575603866264,12.3767718563643,2.45792305083137e-31,4.14856033318729e-30,60.0751084100331
"CLNS1A",0.728270448450257,3.98167087759089,12.3759404815219,2.47807457677351e-31,4.17874952397785e-30,60.0669996036143
"SNAP47",0.589205101712868,2.65537858654692,12.3732106667716,2.54540558537434e-31,4.28836915424529e-30,60.0403765888312
"MARVELD3",0.913342133214358,1.87021096001101,12.3713420177796,2.59254269828585e-31,4.36379814762568e-30,60.0221542007706
"MIS18A",1.02329728492362,2.92659824401134,12.3696860626291,2.63504013147095e-31,4.43128717824758e-30,60.0060072515781
"NLE1",0.717723649027579,2.13417172808068,12.3693081872204,2.64483445288081e-31,4.44370728476732e-30,60.0023228245361
"ECE2",0.98189809921989,1.40089317584692,12.3662039356638,2.72667867469274e-31,4.57669920088416e-30,59.9720576628287
"APBB1",-1.1952459311817,2.34375643765447,-12.3661190719701,2.72895117138583e-31,4.57669920088416e-30,59.9712303386061
"P2RY14",-0.950506353956491,1.24004644704995,-12.3617957853635,2.84724988027818e-31,4.7707598357286e-30,59.9290875571429
"COA4",0.889346691664051,4.37157483580198,12.3590510977633,2.92498789358787e-31,4.8929133572631e-30,59.9023371447438
